Order Date,Product Name,Category,Region,Unit_cost,Quantity,cost,Sales,Profit
12/8/2016,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furniture,Central,68,5,339,191,148
12/27/2015,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Office Supplies,Central,9,9,78,113,35
12/27/2015,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Central,193,3,579,532,47
12/27/2015,"Global Fabric Manager's Chair, Dark Gray",Furniture,Central,76,3,227,212,15
12/27/2015,Plantronics HL10 Handset Lifter,Technology,Central,82,4,329,371,42
9/10/2017,Panasonic Kx-TS550,Technology,Central,33,4,131,147,17
7/17/2016,"Eldon Base for stackable storage shelf, platinum",Office Supplies,West,37,2,74,78,4
9/19/2017,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Office Supplies,South,43,2,86,96,10
3/11/2016,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Technology,Central,13,2,26,46,20
3/11/2016,Wilson Jones Leather-Like Binders with DublLock Round Rings,Office Supplies,Central,5,2,9,17,8
10/20/2014,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Office Supplies,Central,51,4,203,212,8
6/20/2016,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,East,13,3,40,45,5
6/20/2016,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Technology,East,8,2,16,22,6
4/18/2015,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Office Supplies,Central,3,6,20,38,18
4/18/2015,Avery 485,Office Supplies,Central,7,6,40,75,35
4/18/2015,Longer-Life Soft White Bulbs,Furniture,Central,2,2,3,6,3
4/18/2015,"Global Leather Task Chair, Black",Furniture,Central,73,1,73,90,17
12/11/2016,Advantus Push Pins,Office Supplies,East,1,7,9,15,6
12/11/2016,AT&T CL83451 4-Handset Telephone,Technology,East,146,5,731,1030,299
6/17/2016,Home/Office Personal File Carts,Office Supplies,East,26,6,156,209,52
6/17/2016,Xerox 232,Office Supplies,East,3,5,17,32,16
6/17/2016,Novimex Turbo Task Chair,Furniture,East,62,5,312,319,7
6/17/2016,"Array Parchment Paper, Assorted Colors",Office Supplies,East,4,2,8,15,7
6/17/2016,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Technology,East,13,2,27,30,3
6/17/2016,Plastic Binding Combs,Office Supplies,East,8,4,32,48,16
6/17/2016,Prang Dustless Chalk Sticks,Office Supplies,East,1,1,1,2,1
11/24/2015,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Technology,West,4,2,8,14,6
11/24/2015,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Office Supplies,West,3,6,16,26,9
11/24/2015,Xerox 1943,Office Supplies,West,26,3,78,147,69
11/24/2015,Luxo Economy Swing Arm Lamp,Furniture,West,14,4,57,80,22
4/30/2015,"Global Value Mid-Back Manager's Chair, Gray",Furniture,Central,46,5,228,213,15
12/5/2014,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Office Supplies,West,125,8,1002,1113,111
12/5/2014,netTALK DUO VoIP Telephone Service,Technology,West,26,4,105,168,63
6/4/2016,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Office Supplies,South,20,2,40,76,36
9/18/2016,Avery Binding System Hidden Tab Executive Style Index Sets,Office Supplies,East,3,1,3,5,2
9/14/2017,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Central,3,3,10,19,9
4/26/2015,High-Back Leather Manager's Chair,Furniture,South,118,8,946,832,114
4/26/2015,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furniture,South,48,2,96,97,1
4/26/2015,Safco Industrial Wire Shelving System,Office Supplies,South,91,1,91,73,18
12/9/2017,Economy Binders,Office Supplies,Central,1,3,3,1,2
12/9/2017,"6"" Cubicle Wall Clock, Black",Furniture,Central,5,3,16,10,6
12/9/2017,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Office Supplies,Central,8,3,25,27,3
11/26/2014,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Central,7,5,34,19,14
6/12/2016,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Office Supplies,South,152,1,152,208,56
6/12/2016,Avery Heavy-Duty EZD  Binder With Locking Rings,Office Supplies,South,3,3,9,17,8
10/12/2014,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Office Supplies,West,2,5,11,15,4
10/12/2014,"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,West,15,1,15,21,6
9/3/2015,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,South,20,7,138,201,63
11/13/2017,Safco Industrial Wire Shelving,Office Supplies,Central,93,3,279,230,49
5/28/2017,Novimex Swivel Fabric Task Chair,Furniture,South,134,2,269,302,33
10/26/2017,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Technology,Central,13,1,13,20,7
10/26/2017,Avery 511,Office Supplies,Central,2,2,3,6,3
4/5/2016,Eldon Portable Mobile Manager,Office Supplies,Central,21,7,145,158,14
9/17/2016,Turquoise Lead Holder with Pocket Clip,Office Supplies,West,4,3,13,20,7
9/17/2016,Panasonic Kx-TS550,Technology,West,33,2,65,74,8
9/17/2016,Xerox 1995,Office Supplies,West,3,1,3,6,3
1/31/2015,Xerox 1999,Office Supplies,Central,3,2,7,13,6
1/31/2015,"Seth Thomas 13 1/2"" Wall Clock",Furniture,Central,12,3,37,53,17
1/31/2015,Ibico Standard Transparent Covers,Office Supplies,Central,8,2,17,33,16
11/6/2017,Flexible Leather- Look Classic Collection Ring Binder,Office Supplies,West,9,1,9,6,4
11/9/2017,9-3/4 Diameter Round Wall Clock,Furniture,East,8,7,56,97,41
6/17/2017,Trimflex Flexible Post Binders,Office Supplies,West,11,3,33,51,18
9/6/2016,Fellowes Basic Home/Office Series Surge Protectors,Office Supplies,Central,9,6,55,78,23
8/29/2016,Avery Personal Creations Heavyweight Cards,Office Supplies,Central,6,7,42,65,23
8/29/2016,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Central,36,3,107,96,11
8/29/2016,Avery Hidden Tab Dividers for Binding Systems,Office Supplies,Central,2,3,5,2,3
12/1/2016,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Office Supplies,Central,3,4,12,24,12
11/13/2015,Logitech K350 2.4Ghz Wireless Keyboard,Technology,West,44,6,266,239,27
11/13/2015,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,West,35,3,106,102,4
11/13/2015,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,West,21,3,63,37,26
11/23/2017,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Technology,South,7,8,57,74,18
11/23/2017,Speck Products Candyshell Flip Case,Technology,South,26,1,26,28,2
11/23/2017,Newell Chalk Holder,Office Supplies,South,2,1,2,3,1
10/15/2015,Logitech Gaming G510s - Keyboard,Technology,Central,54,5,272,340,68
12/25/2017,Magnifier Swing Arm Lamp,Furniture,East,16,2,31,42,11
11/3/2016,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Office Supplies,Central,27,2,53,76,23
11/3/2016,"Avery Durable Plastic 1"" Binders",Office Supplies,Central,2,6,14,27,13
8/25/2014,"OIC Colored Binder Clips, Assorted Sizes",Office Supplies,East,2,14,26,40,15
8/25/2014,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Office Supplies,East,2,2,3,5,2
8/25/2014,Xerox 1921,Office Supplies,East,5,3,16,24,7
8/25/2014,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,East,14,6,86,130,44
3/2/2015,Hon Racetrack Conference Tables,Furniture,West,207,3,622,788,165
4/5/2015,GBC DocuBind 300 Electric Binding Machine,Office Supplies,South,274,1,274,158,116
6/12/2016,Artistic Insta-Plaque,Furniture,East,10,3,29,47,18
6/12/2016,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,East,4,4,17,31,14
6/12/2016,"Companion Letter/Legal File, Black",Office Supplies,East,27,6,163,227,63
6/12/2016,Globe Weis Peel & Seel First Class Envelopes,Office Supplies,East,7,9,63,115,52
6/12/2016,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Technology,East,7,7,48,68,20
12/26/2014,Global Deluxe High-Back Manager's Chair,Furniture,Central,203,3,609,601,9
9/20/2014,Bevis 44 x 96 Conference Tables,Furniture,Central,171,6,1025,618,408
11/5/2017,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,West,2,2,4,2,2
11/5/2017,"Trav-L-File Heavy-Duty Shuttle II, Black",Office Supplies,West,30,7,213,244,30
11/6/2016,"Global Task Chair, Black",Furniture,West,45,2,91,81,9
11/6/2016,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,Furniture,West,71,3,212,239,26
2/2/2017,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,Technology,East,14,5,72,60,12
2/2/2017,Xerox 1916,Office Supplies,East,24,2,49,78,29
2/2/2017,Staples,Office Supplies,East,2,9,14,21,7
10/13/2016,Xerox 195,Office Supplies,West,3,3,10,20,10
10/13/2016,Xerox 1880,Office Supplies,West,19,1,19,35,17
10/13/2016,"Sanford Colorific Colored Pencils, 12/Box",Office Supplies,West,2,4,8,12,3
10/13/2016,Ideal Clamps,Office Supplies,West,1,2,2,4,2
10/13/2016,GBC Wire Binding Strips,Office Supplies,West,17,3,50,76,27
10/13/2016,Fiskars Softgrip Scissors,Office Supplies,West,8,6,47,66,18
10/13/2016,Longer-Life Soft White Bulbs,Furniture,West,2,14,22,43,21
9/5/2016,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,East,36,2,72,83,10
9/18/2017,Newell 343,Office Supplies,West,2,3,6,9,2
9/18/2017,Convenience Packs of Business Envelopes,Office Supplies,West,2,3,6,11,5
9/18/2017,Xerox 1911,Office Supplies,West,25,3,75,144,69
12/22/2017,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,Office Supplies,Central,207,3,621,839,218
9/7/2015,Safco Industrial Wire Shelving,Office Supplies,West,93,7,652,672,20
10/22/2014,"Seth Thomas 14"" Putty-Colored Wall Clock",Furniture,East,20,4,81,94,13
12/5/2016,Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Central,26,11,281,384,104
12/5/2016,Anker Astro 15000mAh USB Portable Charger,Technology,Central,48,3,144,150,6
12/5/2016,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Central,171,8,1366,1952,586
12/5/2016,GBC Prestige Therm-A-Bind Covers,Office Supplies,Central,18,5,91,172,81
3/13/2016,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,Office Supplies,West,28,5,140,158,18
3/13/2016,Jabra BIZ 2300 Duo QD Duo Corded Headset,Technology,West,94,2,188,203,15
5/31/2015,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,West,5,7,32,58,26
5/31/2015,Xerox 1883,Office Supplies,West,14,4,57,106,49
5/31/2015,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,West,10,6,60,81,21
5/28/2015,Newell 311,Office Supplies,West,2,3,5,7,2
3/1/2014,Global Deluxe High-Back Manager's Chair,Furniture,West,203,2,406,458,51
11/20/2016,Avery 519,Office Supplies,Central,4,2,8,15,7
11/20/2016,Avaya 5420 Digital phone,Technology,Central,101,7,709,945,236
5/11/2016,Xerox 1920,Office Supplies,West,3,1,3,6,3
12/28/2015,Lenovo 17-Key USB Numeric Keypad,Technology,East,27,2,53,54,1
11/16/2016,Staple envelope,Office Supplies,West,3,5,15,28,13
11/7/2016,Wilson Jones International Size A4 Ring Binders,Office Supplies,West,9,2,18,28,10
9/8/2014,BIC Brite Liner Highlighters,Office Supplies,Central,2,3,7,10,3
9/8/2014,Lexmark MX611dhe Monochrome Laser Printer,Technology,Central,1190,8,9520,8160,1360
9/8/2014,Space Solutions HD Industrial Steel Shelving.,Office Supplies,Central,112,3,335,276,59
9/8/2014,SAFCO Arco Folding Chair,Furniture,Central,196,9,1765,1740,25
9/8/2014,Sanford Liquid Accent Highlighters,Office Supplies,Central,4,6,25,32,7
9/8/2014,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Central,126,5,632,178,454
9/8/2014,JBL Micro Wireless Portable Bluetooth Speaker,Technology,Central,45,3,135,144,9
8/5/2014,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Office Supplies,West,4,3,11,21,10
8/5/2014,Xerox 1913,Office Supplies,West,29,2,58,111,53
8/5/2014,"Global Value Steno Chair, Gray",Furniture,West,46,7,319,340,21
9/14/2014,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Central,92,2,184,52,131
9/14/2014,Avery 51,Office Supplies,Central,3,4,14,20,7
4/21/2017,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,Central,85,4,340,97,243
11/21/2015,"Padded Folding Chairs, Black, 4/Carton",Furniture,East,58,7,408,397,11
11/21/2015,Acme Rosewood Handle Letter Opener,Office Supplies,East,4,5,20,16,4
12/15/2015,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",Office Supplies,East,2,1,2,3,1
12/5/2014,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Central,11,2,23,25,2
12/5/2014,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,Technology,Central,47,7,332,409,77
11/19/2014,AT&T TR1909W,Technology,South,93,4,373,504,131
11/19/2014,Nokia Lumia 521 (T-Mobile),Technology,South,22,5,108,150,42
11/19/2014,HP Standard 104 key PS/2 Keyboard,Technology,South,11,2,22,29,7
11/28/2016,Avery Poly Binder Pockets,Office Supplies,East,2,2,4,7,3
8/26/2014,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,West,19,8,154,177,23
7/16/2016,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Central,11,3,34,37,4
7/16/2016,Southworth 25% Cotton Antique Laid Paper & Envelopes,Office Supplies,Central,5,3,14,20,6
10/12/2015,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",Furniture,East,197,4,787,899,112
10/12/2015,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,East,9,6,52,72,20
10/12/2015,Xerox 205,Office Supplies,East,3,8,27,52,25
10/12/2015,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,East,193,3,579,626,47
10/12/2015,4009 Highlighters by Sanford,Office Supplies,East,3,5,13,20,7
10/31/2015,Poly String Tie Envelopes,Office Supplies,West,1,7,8,14,7
3/21/2014,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,East,3,2,6,7,1
3/21/2014,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Office Supplies,East,1,3,4,6,2
11/6/2017,Decoflex Hanging Personal Folder File,Office Supplies,East,11,3,34,46,12
7/6/2017,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Office Supplies,East,3,2,5,3,2
7/6/2017,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",Office Supplies,East,3,3,10,16,6
6/24/2017,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Office Supplies,East,5,3,15,22,7
8/3/2014,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,West,190,2,381,219,162
8/3/2014,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",Office Supplies,West,2,1,2,3,0
12/17/2017,Eureka Sanitaire  Commercial Upright,Office Supplies,Central,123,2,245,66,179
6/3/2017,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,South,4,7,25,35,10
12/9/2017,Nortel Business Series Terminal T7208 Digital phone,Technology,West,100,4,400,445,44
12/1/2017,"Tennsco Lockers, Gray",Office Supplies,Central,20,4,78,84,6
12/1/2017,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,Technology,Central,48,2,96,132,36
12/1/2017,"Avery Durable Slant Ring Binders, No Labels",Office Supplies,Central,2,4,8,16,7
12/1/2017,"Advantus Push Pins, Aluminum Head",Office Supplies,Central,4,9,36,52,16
12/1/2017,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Office Supplies,Central,88,1,88,92,4
2/9/2015,Memorex Micro Travel Drive 8 GB,Technology,Central,7,2,14,21,7
1/2/2015,Avery 505,Office Supplies,East,7,2,15,24,9
1/2/2015,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,Furniture,East,139,5,697,452,244
1/2/2015,Speck Products Candyshell Flip Case,Technology,East,26,3,78,63,15
1/2/2015,Cisco 9971 IP Video Phone Charcoal,Technology,East,238,9,2138,1188,950
1/2/2015,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,Technology,East,43,2,85,90,4
10/28/2016,"Personal Filing Tote with Lid, Black/Gray",Office Supplies,West,11,6,67,93,26
10/28/2016,Adtran 1202752G1,Technology,West,93,3,280,302,23
12/24/2015,OIC Bulk Pack Metal Binder Clips,Office Supplies,East,2,2,4,6,2
12/24/2015,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Office Supplies,East,2,6,14,23,8
12/24/2015,Ibico Standard Transparent Covers,Office Supplies,East,8,4,34,20,14
12/24/2015,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,East,13,4,54,73,19
12/24/2015,Swingline SM12-08 MicroCut Jam Free Shredder,Technology,East,216,4,864,480,384
12/24/2015,Stanley Bostitch Contemporary Electric Pencil Sharpeners,Office Supplies,East,12,2,24,27,3
8/9/2015,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",Office Supplies,Central,1,1,1,2,1
8/9/2015,Bevis 36 x 72 Conference Tables,Furniture,Central,97,5,486,622,137
8/9/2015,Rogers Deluxe File Chest,Office Supplies,Central,22,1,22,22,0
2/28/2015,Global Low Back Tilter Chair,Furniture,South,95,2,190,162,28
2/28/2015,"Global Push Button Manager's Chair, Indigo",Furniture,South,43,8,346,390,44
9/13/2014,GBC Instant Index System for Binding Systems,Office Supplies,South,4,7,31,19,12
4/7/2017,Bush Advantage Collection Round Conference Table,Furniture,South,168,2,336,234,102
4/7/2017,Bretford Rectangular Conference Table Tops,Furniture,South,290,3,869,621,248
4/7/2017,GBC Instant Index System for Binding Systems,Office Supplies,South,4,2,9,5,4
4/7/2017,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Furniture,South,86,3,258,258,0
4/7/2017,Logitech P710e Mobile Speakerphone,Technology,South,209,3,626,618,8
11/12/2017,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,West,3,2,6,11,5
6/4/2016,Xerox 1957,Office Supplies,Central,3,5,17,26,9
6/4/2016,Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base,Furniture,Central,155,5,776,420,357
6/4/2016,Staple-based wall hangings,Furniture,Central,5,3,16,12,5
6/4/2016,PureGear Roll-On Screen Protector,Technology,Central,10,2,21,32,11
6/4/2016,KI Conference Tables,Furniture,Central,60,5,298,177,121
6/4/2016,Eldon 100 Class Desk Accessories,Furniture,Central,2,3,7,4,3
6/4/2016,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Office Supplies,Central,3,2,6,7,1
6/1/2014,Global Deluxe High-Back Manager's Chair,Furniture,Central,203,7,1421,2002,581
6/1/2014,Safco Steel Mobile File Cart,Office Supplies,Central,63,2,125,167,42
6/1/2014,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Office Supplies,Central,4,6,24,48,24
6/1/2014,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Central,201,5,1007,1503,496
6/1/2014,Xerox 205,Office Supplies,Central,3,4,13,26,12
12/10/2016,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Furniture,West,147,2,293,322,28
9/11/2016,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",Office Supplies,West,4,1,4,8,4
9/11/2016,Logitech P710e Mobile Speakerphone,Technology,West,209,13,2711,3347,636
12/10/2016,"Fellowes Personal Hanging Folder Files, Navy",Office Supplies,East,10,6,58,81,23
12/10/2016,Tyvek Side-Opening Peel & Seel Expanding Envelopes,Office Supplies,East,50,4,199,362,163
11/28/2015,Eldon 100 Class Desk Accessories,Furniture,Central,2,9,21,12,8
11/28/2015,"Belkin 19"" Vented Equipment Shelf, Black",Office Supplies,Central,51,2,102,82,20
11/28/2015,"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Central,10,5,50,54,4
11/28/2015,Logitech Mobile Speakerphone P710e - speaker phone,Technology,Central,99,6,591,648,57
12/1/2017,Sabrent 4-Port USB 2.0 Hub,Technology,East,4,3,13,20,7
12/1/2017,Safco Industrial Shelving,Office Supplies,East,72,3,215,222,7
12/1/2017,Acco 3-Hole Punch,Office Supplies,East,2,5,11,18,6
6/8/2017,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Central,3,2,6,2,4
9/19/2014,Lexmark MX611dhe Monochrome Laser Printer,Technology,Central,1190,3,3570,3060,510
9/19/2014,Xerox WorkCentre 6505DN Laser Multifunction Printer,Technology,Central,396,7,2772,2520,252
6/6/2016,Cisco Small Business SPA 502G VoIP phone,Technology,Central,75,4,300,328,29
11/10/2015,Microsoft Sculpt Comfort Mouse,Technology,West,22,2,45,80,35
6/16/2017,"Quartet Omega Colored Chalk, 12/Pack",Office Supplies,South,3,3,9,14,5
1/22/2016,Bagged Rubber Bands,Office Supplies,East,1,6,7,8,0
12/9/2017,Safco Commercial Shelving,Office Supplies,East,45,1,45,37,7
12/9/2017,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,East,12,3,36,58,22
12/28/2017,Adjustable Depth Letter/Legal Cart,Office Supplies,West,129,4,515,726,210
7/30/2015,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,West,17,7,118,210,92
7/30/2015,Regeneration Desk Collection,Furniture,West,1,3,3,5,2
7/30/2015,Presstex Flexible Ring Binders,Office Supplies,West,2,3,7,11,4
9/16/2017,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",Office Supplies,West,2,2,5,9,4
9/16/2017,Newell 330,Office Supplies,West,4,1,4,6,2
10/13/2017,"Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",Office Supplies,East,4,2,8,12,4
10/13/2017,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,East,3,4,12,18,6
10/13/2017,Eldon Simplefile Box Office,Office Supplies,East,9,6,54,60,6
10/13/2017,Avery 489,Office Supplies,East,5,3,16,25,9
9/26/2015,Round Ring Binders,Office Supplies,Central,1,5,6,2,3
9/26/2015,Bose SoundLink Bluetooth Speaker,Technology,Central,105,7,738,1114,376
11/2/2015,"Bevis Round Bullnose 29"" High Table Top",Furniture,West,197,5,987,1039,52
9/26/2015,Easy-staple paper,Office Supplies,West,19,5,94,142,48
9/26/2015,Microsoft Arc Touch Mouse,Technology,West,38,5,192,240,48
9/26/2015,Xerox 216,Office Supplies,West,3,6,20,31,11
12/18/2016,GBC VeloBinder Electric Binding Machine,Office Supplies,South,60,7,423,254,169
12/18/2016,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",Office Supplies,South,85,2,170,195,24
12/18/2016,Premier Automatic Letter Opener,Office Supplies,South,233,5,1166,961,204
11/20/2016,Advantus SlideClip Paper Clips,Office Supplies,East,2,7,12,19,7
11/20/2016,Avery 512,Office Supplies,East,2,8,12,18,6
